ID,Query,Preprocessed_Query,Tokenized_Query
1,".T 18 Editions of the Dewey Decimal Classifications .A Comaromi, J.P. The present study is a history of the DEWEY Decimal Classification.  The first edition of the DDC was published in 1876, the eighteenth edition in 1971, and future editions will continue to appear as needed.  In spite of the DDC's long and healthy life, however, its full story has never been told.  There have been biographies of Dewey that briefly describe his system, but this is the first attempt to provide a detailed history of the work that more than any other has spurred the growth of librarianship in this country and abroad. .X 1	5	1 92	1	1 262	1	1 556	1	1 1004	1	1 1024	1	1 1024	1	1",edition dewey decimal classification comaromi jp present study history dewey decimal classification first edition ddc publish eighteenth edition future edition continue appear need spite ddc long healthy life however full story never told biography dewey briefly describe system first attempt provide detailed history work spur growth librarianship country abroad x,"['edit', 'dewey', 'decim', 'classif', 'comaromi', 'jp', 'present', 'studi', 'histori', 'dewey', 'decim', 'classif', 'first', 'edit', 'ddc', 'publish', 'eighteenth', 'edit', 'futur', 'edit', 'continu', 'appear', 'need', 'spite', 'ddc', 'long', 'healthi', 'life', 'howev', 'full', 'stori', 'never', 'told', 'biographi', 'dewey', 'briefli', 'describ', 'system', 'first', 'attempt', 'provid', 'detail', 'histori', 'work', 'spur', 'growth', 'librarianship', 'countri', 'abroad', 'x']"
2,".T Use Made of Technical Libraries .A Slater, M. This report is an analysis of 6300 acts of use in 104 technical libraries in the United Kingdom. Library use is only one aspect of the wider pattern of information use.  Information transfer in libraries is restricted to the use of documents.  It takes no account of documents used outside the library, still less of information transferred orally from person to person.  The library acts as a channel in only a proportion of the situations in which information is transferred. Taking technical information transfer as a whole, there is no doubt that this proportion is not the major one.  There are users of technical information - particularly in technology rather than science - who visit libraries rarely if at all, relying on desk collections of handbooks, current periodicals and personal contact with their colleagues and with people in other organizations.  Even regular library users also receive information in other ways. .X 2	5	2 32	1	2 76	1	2 132	1	2 137	1	2 139	1	2 152	2	2 155	1	2 158	1	2 183	1	2 195	1	2 203	1	2 204	1	2 210	1	2 243	1	2 371	1	2 475	1	2 552	1	2 760	1	2 770	1	2 771	1	2 774	1	2 775	1	2 776	1	2 788	1	2 789	1	2 801	1	2 815	1	2 839	1	2 977	1	2 1055	1	2 1056	1	2 1151	1	2 1361	1	2 1414	1	2 1451	1	2 1451	1	2",use make technical library slater report analysis act use technical library united kingdom library use one aspect wider pattern information use information transfer library restrict use document take account document use outside library still less information transfer orally person person library act channel proportion situation information transfer take technical information transfer whole doubt proportion major one user technical information particularly technology rather science visit library rarely rely desk collection handbook current periodical personal contact colleague people organization even regular library user also receive information way x,"['use', 'made', 'technic', 'librari', 'slater', 'report', 'analysi', 'act', 'use', 'technic', 'librari', 'unit', 'kingdom', 'librari', 'use', 'one', 'aspect', 'wider', 'pattern', 'inform', 'use', 'inform', 'transfer', 'librari', 'restrict', 'use', 'document', 'take', 'account', 'document', 'use', 'outsid', 'librari', 'still', 'less', 'inform', 'transfer', 'oral', 'person', 'person', 'librari', 'act', 'channel', 'proport', 'situat', 'inform', 'transfer', 'take', 'technic', 'inform', 'transfer', 'whole', 'doubt', 'proport', 'major', 'one', 'user', 'technic', 'inform', 'particularli', 'technolog', 'rather', 'scienc', 'visit', 'librari', 'rare', 'reli', 'desk', 'collect', 'handbook', 'current', 'period', 'person', 'contact', 'colleagu', 'peopl', 'organ', 'even', 'regular', 'librari', 'user', 'also', 'receiv', 'inform', 'way', 'x']"
3,".T Two Kinds of Power An Essay on Bibliographic Control .A Wilson, P. The relationships between the organization and control of writings and the organization and control of knowledge and information will inevitably enter our story, for writings contain, along with much else, a great deal of mankind's stock of knowledge and information.  Bibliographical control is a form of power, and if knowledge itself is a form of power, as the familiar slogan claims, bibliographical control is in a certain sense power over power, power to obtain the knowledge recorded in written form.  As writings are not simply, and not in any simple way, storehouses of knowledge, we cannot satisfactorily discuss bibliographical control as simply control over the knowledge and information contained in writings. .X 3	7	3 42	1	3 172	1	3 268	1	3 292	1	3 323	1	3 360	1	3 361	1	3 444	1	3 457	1	3 665	1	3 762	1	3 803	1	3 846	1	3 907	2	3 911	1	3 985	1	3 1219	1	3 1268	1	3 1309	1	3 1402	2	3 1426	1	3 1426	1	3",two kind power essay bibliographic control wilson p relationship organization control writing organization control knowledge information inevitably enter story writing contain along much else great deal mankind stock knowledge information bibliographical control form power knowledge form power familiar slogan claim bibliographical control certain sense power power power obtain knowledge record write form writing simply simple way storehouse knowledge satisfactorily discus bibliographical control simply control knowledge information contain writing x,"['two', 'kind', 'power', 'essay', 'bibliograph', 'control', 'wilson', 'p', 'relationship', 'organ', 'control', 'write', 'organ', 'control', 'knowledg', 'inform', 'inevit', 'enter', 'stori', 'write', 'contain', 'along', 'much', 'els', 'great', 'deal', 'mankind', 'stock', 'knowledg', 'inform', 'bibliograph', 'control', 'form', 'power', 'knowledg', 'form', 'power', 'familiar', 'slogan', 'claim', 'bibliograph', 'control', 'certain', 'sens', 'power', 'power', 'power', 'obtain', 'knowledg', 'record', 'written', 'form', 'write', 'simpli', 'simpl', 'way', 'storehous', 'knowledg', 'satisfactorili', 'discuss', 'bibliograph', 'control', 'simpli', 'control', 'knowledg', 'inform', 'contain', 'write', 'x']"
4,".T Systems Analysis of a University Library; final report and research project .A Buckland, M.K. The establishment of nine new universities in the 1960's provoked a highly stimulating re-examination of the nature, purpose and management of academic libraries.  Long-established attitudes and methods were questioned, but although changes were made, the basic difficulty remained - a lack of objective information about the best ways of providing a library service in a university. The report of the UGC Committee on Libraries (the Parry Repot [267]), which, in general, endorsed these changes, also stressed the need for research into all aspects of academic library provision. .X 4	10	4 5	2	4 9	1	4 32	1	4 65	1	4 96	1	4 137	1	4 162	1	4 163	1	4 207	2	4 245	1	4 293	1	4 298	1	4 364	1	4 418	1	4 456	1	4 580	1	4 622	1	4 696	1	4 705	1	4 728	1	4 729	1	4 766	1	4 768	2	4 770	1	4 774	2	4 776	1	4 783	1	4 786	1	4 791	1	4 799	1	4 811	2	4 816	2	4 823	1	4 842	1	4 843	1	4 844	1	4 913	1	4 915	1	4 925	3	4 959	1	4 960	1	4 961	3	4 962	2	4 964	2	4 968	1	4 981	1	4 1068	1	4 1069	1	4 1070	1	4 1203	1	4 1214	1	4 1321	1	4 1400	1	4 1407	1	4 1445	1	4 1445	1	4",system analysis university library final report research project buckland mk establishment nine new university provoke highly stimulate reexamination nature purpose management academic library longestablished attitude method question although change make basic difficulty remain lack objective information best way provide library service university report ugc committee library parry repot general endorse change also stress need research aspect academic library provision x,"['system', 'analysi', 'univers', 'librari', 'final', 'report', 'research', 'project', 'buckland', 'mk', 'establish', 'nine', 'new', 'univers', 'provok', 'highli', 'stimul', 'reexamin', 'natur', 'purpos', 'manag', 'academ', 'librari', 'longestablish', 'attitud', 'method', 'question', 'although', 'chang', 'made', 'basic', 'difficulti', 'remain', 'lack', 'object', 'inform', 'best', 'way', 'provid', 'librari', 'servic', 'univers', 'report', 'ugc', 'committe', 'librari', 'parri', 'repot', 'gener', 'endors', 'chang', 'also', 'stress', 'need', 'research', 'aspect', 'academ', 'librari', 'provis', 'x']"
5,".T A Library Management Game: a report on a research project .A Brophy, P. Although the use of games in professional education has become widespread only during the last decade, the method has been used in a number of fields for many hundreds of years. Its origins have been traced to simple war games, used in military training when the ""real thing"" was either unavailable or too dangerous.  In more recent times, these games have become more and more sophisticated, and many now use large electronic computers to handle the complex calculations involved. Since 1956, when the first well-developed management game was introduced, the technique has spread rapidly into a wide variety of disciplines and today it is used at all levels of education, from primary school classes to courses for experienced professional men and women.  One of the main causes of this ""game explosion"" has been the rapid development of sophisticated management techniques, such as simulation and mathematical modelling, which have been made possible by rapid advances in computer technology. .X 4	2	5 5	6	5 90	1	5 91	1	5 115	1	5 158	1	5 207	1	5 222	1	5 223	1	5 234	1	5 245	2	5 364	2	5 365	1	5 368	1	5 435	1	5 535	1	5 553	1	5 598	1	5 615	1	5 764	1	5 766	1	5 811	2	5 815	1	5 816	2	5 818	1	5 823	1	5 842	1	5 915	1	5 925	2	5 944	1	5 948	1	5 957	1	5 959	1	5 960	1	5 961	2	5 962	1	5 964	1	5 1023	2	5 1219	1	5 1227	1	5 1257	1	5 1365	1	5 1390	1	5 1400	1	5 1400	1	5",library management game report research project brophy p although use game professional education become widespread last decade method use number field many hundred year origin trace simple war game use military training real thing either unavailable dangerous recent time game become sophisticated many use large electronic computer handle complex calculation involve since first welldeveloped management game introduce technique spread rapidly wide variety discipline today use level education primary school class course experienced professional men woman one main cause game explosion rapid development sophisticated management technique simulation mathematical model make possible rapid advance computer technology x,"['librari', 'manag', 'game', 'report', 'research', 'project', 'brophi', 'p', 'although', 'use', 'game', 'profession', 'educ', 'becom', 'widespread', 'last', 'decad', 'method', 'use', 'number', 'field', 'mani', 'hundr', 'year', 'origin', 'trace', 'simpl', 'war', 'game', 'use', 'militari', 'train', 'real', 'thing', 'either', 'unavail', 'danger', 'recent', 'time', 'game', 'becom', 'sophist', 'mani', 'use', 'larg', 'electron', 'comput', 'handl', 'complex', 'calcul', 'involv', 'sinc', 'first', 'welldevelop', 'manag', 'game', 'introduc', 'techniqu', 'spread', 'rapidli', 'wide', 'varieti', 'disciplin', 'today', 'use', 'level', 'educ', 'primari', 'school', 'class', 'cours', 'experienc', 'profession', 'men', 'women', 'one', 'main', 'caus', 'game', 'explos', 'rapid', 'develop', 'sophist', 'manag', 'techniqu', 'simul', 'mathemat', 'model', 'made', 'possibl', 'rapid', 'advanc', 'comput', 'technolog', 'x']"
6,".T Abstracting Concepts and Methods .A Borko, H. Graduate library school study of abstracting should be more than a how-to-do-it course. It should include general material on the characteristcs and types of abstracts, the historical development of abstracting publications, the abstract-publishing industry (especially in the United States), and the need for standards in the preparation and evaluation of the product. These topics we call concepts. The text includes a methods section containing instructions for writing various types of abstracts, and for editing and preparing abstracting publications. These detailed instructions are supplemented by examples and exercises in the appendix. There is a brief discussion of indexing of abstract publications. Research on automation has been treated extensively in this work, for we believe that the topic deserves greater emphasis than it has received in the past. Computer use is becoming increasingly important in all aspects of librarianship. Much research effort has been expended on the preparation and evaluation of computer-prepared abstracts and extracts. Students, librarians, and abstractors will benefit from knowing about this research and understanding how computer programs were researched to analyze text, select key sentences, and prepare extracts and abstracts. The benefits of this research are discussed. Abstracting is a key segment of the information industry. Opportunities are available for both full-time professionals and part-time or volunteer workers. Many librarians find such activities pleasant and rewarding, for they know they are contributing to the more effective use of stored information. One chapter is devoted to career opportunities for abstractors. .X 6	6	6 363	1	6 403	1	6 461	1	6 551	1	6 551	1	6",abstract concept method borko h graduate library school study abstract howtodoit course include general material characteristcs type abstract historical development abstract publication abstractpublishing industry especially united state need standard preparation evaluation product topic call concept text include method section contain instruction write various type abstract edit prepare abstract publication detailed instruction supplement example exercise appendix brief discussion index abstract publication research automation treat extensively work believe topic deserves great emphasis receive past computer use become increasingly important aspect librarianship much research effort expend preparation evaluation computerprepared abstract extract student librarian abstractor benefit know research understand computer program research analyze text select key sentence prepare extract abstract benefit research discuss abstract key segment information industry opportunity available fulltime professional parttime volunteer worker many librarian find activity pleasant reward know contribute effective use store information one chapter devote career opportunity abstractor x,"['abstract', 'concept', 'method', 'borko', 'h', 'graduat', 'librari', 'school', 'studi', 'abstract', 'howtodoit', 'cours', 'includ', 'gener', 'materi', 'characteristc', 'type', 'abstract', 'histor', 'develop', 'abstract', 'public', 'abstractpublish', 'industri', 'especi', 'unit', 'state', 'need', 'standard', 'prepar', 'evalu', 'product', 'topic', 'call', 'concept', 'text', 'includ', 'method', 'section', 'contain', 'instruct', 'write', 'variou', 'type', 'abstract', 'edit', 'prepar', 'abstract', 'public', 'detail', 'instruct', 'supplement', 'exampl', 'exercis', 'appendix', 'brief', 'discuss', 'index', 'abstract', 'public', 'research', 'autom', 'treat', 'extens', 'work', 'believ', 'topic', 'deserv', 'greater', 'emphasi', 'receiv', 'past', 'comput', 'use', 'becom', 'increasingli', 'import', 'aspect', 'librarianship', 'much', 'research', 'effort', 'expend', 'prepar', 'evalu', 'computerprepar', 'abstract', 'extract', 'student', 'librarian', 'abstractor', 'benefit', 'know', 'research', 'understand', 'comput', 'program', 'research', 'analyz', 'text', 'select', 'key', 'sentenc', 'prepar', 'extract', 'abstract', 'benefit', 'research', 'discuss', 'abstract', 'key', 'segment', 'inform', 'industri', 'opportun', 'avail', 'fulltim', 'profession', 'parttim', 'volunt', 'worker', 'mani', 'librarian', 'find', 'activ', 'pleasant', 'reward', 'know', 'contribut', 'effect', 'use', 'store', 'inform', 'one', 'chapter', 'devot', 'career', 'opportun', 'abstractor', 'x']"
7,".T Academic Library Buildings A Guide to Architectural Issues and Solutions .A Ellsworth, R.E. This book attempts to present representative examples of successful architectural solutions to the important problems librarians and architects face in planning new college and university library buildings or in remodeling and enlarging existing structures.  It does not attempt to make case study evaluations, as was done by Ellsworth Mason for Brown and Yale.  Nor does it present examples of unsuccessful solutions except to show how to avoid mistakes, and in these cases the libraries will not be identified. .X 7	8	7 240	1	7 262	1	7 353	1	7 892	1	7 1028	1	7 1211	3	7 1212	1	7 1266	1	7 1424	1	7 1424	1	7",academic library building guide architectural issue solution ellsworth book attempt present representative example successful architectural solution important problem librarian architect face planning new college university library building remodel enlarge exist structure attempt make case study evaluation do ellsworth mason brown yale present example unsuccessful solution except show avoid mistake case library identify x,"['academ', 'librari', 'build', 'guid', 'architectur', 'issu', 'solut', 'ellsworth', 'book', 'attempt', 'present', 'repres', 'exampl', 'success', 'architectur', 'solut', 'import', 'problem', 'librarian', 'architect', 'face', 'plan', 'new', 'colleg', 'univers', 'librari', 'build', 'remodel', 'enlarg', 'exist', 'structur', 'attempt', 'make', 'case', 'studi', 'evalu', 'done', 'ellsworth', 'mason', 'brown', 'yale', 'present', 'exampl', 'unsuccess', 'solut', 'except', 'show', 'avoid', 'mistak', 'case', 'librari', 'identifi', 'x']"
8,".T The Academic Library Essays in Honor of Guy R. Lyle .A Farber, E.I. As important for staff members' individual development as was the apprenticeship in administration, perhaps the most significant attitude one acquired while working for Guy was engendered by his insistence that librarians must be interested in and knowledgeable about the content of the materials with which they dealt.  His love of literature, his respect for scholarship, his admiration for good writing and reading were manifested in many ways, but most notably in his admonition that, though we were primarily a research library, we must constantly keep in mind our obligation to collect contemporary poetry, fiction and belles-letters.  It was primarily up to the library staff, he felt, to be responsible for these as well as for ""general"" books which crossed disciplinary lines or fell between the disciplines, those books which a faculty mostly concerned with research materials is apt to overlook.  And in building this portion of the collection, ""there is no substitute for a thorough acquaintance with books through a reading of critical reviews and the books themselves.""  This counsel is from The President, the Professor, and the College Library, but the importance of its thrust--the need to keep up with the world of books and publishing--was continually impressed upon us. .X 8	5	8 20	1	8 171	1	8 909	1	8 918	1	8 1061	1	8 1453	1	8 1453	1	8",academic library essay honor guy r lyle farber ei important staff member individual development apprenticeship administration perhaps significant attitude one acquire work guy engender insistence librarian must interested knowledgeable content material dealt love literature respect scholarship admiration good write reading manifest many way notably admonition though primarily research library must constantly keep mind obligation collect contemporary poetry fiction bellesletters primarily library staff felt responsible well general book cross disciplinary line fell discipline book faculty mostly concerned research material apt overlook building portion collection substitute thorough acquaintance book reading critical review book counsel president professor college library importance thrustthe need keep world book publishingwas continually impressed upon u x,"['academ', 'librari', 'essay', 'honor', 'guy', 'r', 'lyle', 'farber', 'ei', 'import', 'staff', 'member', 'individu', 'develop', 'apprenticeship', 'administr', 'perhap', 'signific', 'attitud', 'one', 'acquir', 'work', 'guy', 'engend', 'insist', 'librarian', 'must', 'interest', 'knowledg', 'content', 'materi', 'dealt', 'love', 'literatur', 'respect', 'scholarship', 'admir', 'good', 'write', 'read', 'manifest', 'mani', 'way', 'notabl', 'admonit', 'though', 'primarili', 'research', 'librari', 'must', 'constantli', 'keep', 'mind', 'oblig', 'collect', 'contemporari', 'poetri', 'fiction', 'belleslett', 'primarili', 'librari', 'staff', 'felt', 'respons', 'well', 'gener', 'book', 'cross', 'disciplinari', 'line', 'fell', 'disciplin', 'book', 'faculti', 'mostli', 'concern', 'research', 'materi', 'apt', 'overlook', 'build', 'portion', 'collect', 'substitut', 'thorough', 'acquaint', 'book', 'read', 'critic', 'review', 'book', 'counsel', 'presid', 'professor', 'colleg', 'librari', 'import', 'thrustth', 'need', 'keep', 'world', 'book', 'publishingwa', 'continu', 'impress', 'upon', 'us', 'x']"
9,".T Access to Libraries in College .A Hyman, R.T. This study assumed that an additional use study held less promise than an analytical consideration of concepts. The basic approach was a survey comparing traditional and current professional ideas on direct access.  Principal data-gathering instruments were documentary analysis and opinion questionnaire. Findings of the documentary analysis included the following: Research from 1890 to 1970 on the direct shelf approach and browsing left the problems largely unresolved and evidently resistant to established methods of use and user research.  The need for an exhaustive study of concepts was confirmed. Open shelf libraries--organized through shelf classification and relative location--were meant to arouse the intellectual, social, and political interest of the average citizen and affect his democratic self-realization. Definitions of ""browsing"" varied greatly: self-indulgence by the untutored in objectionable works; beneficial self-education for the general reader; valuable guidance for the scholar in his research. .X 4	1	9 9	5	9 32	1	9 96	1	9 137	1	9 163	1	9 207	2	9 222	1	9 223	1	9 296	1	9 297	1	9 298	1	9 300	1	9 301	1	9 302	1	9 358	1	9 364	1	9 456	1	9 515	1	9 535	1	9 625	1	9 629	1	9 631	1	9 634	1	9 768	1	9 774	1	9 783	1	9 791	1	9 799	1	9 811	2	9 816	2	9 818	1	9 823	1	9 843	1	9 844	1	9 846	1	9 913	1	9 915	1	9 961	2	9 962	2	9 964	2	9 968	1	9 994	1	9 1015	1	9 1068	1	9 1203	1	9 1242	1	9 1247	1	9 1268	1	9 1321	1	9 1354	1	9 1407	1	9 1445	1	9 1445	1	9",access library college hyman rt study assume additional use study held less promise analytical consideration concept basic approach survey compare traditional current professional idea direct access principal datagathering instrument documentary analysis opinion questionnaire finding documentary analysis include follow research direct shelf approach browsing left problem largely unresolved evidently resistant establish method use user research need exhaustive study concept confirm open shelf librariesorganized shelf classification relative locationwere meant arouse intellectual social political interest average citizen affect democratic selfrealization definition browsing varied greatly selfindulgence untutored objectionable work beneficial selfeducation general reader valuable guidance scholar research x,"['access', 'librari', 'colleg', 'hyman', 'rt', 'studi', 'assum', 'addit', 'use', 'studi', 'held', 'less', 'promis', 'analyt', 'consider', 'concept', 'basic', 'approach', 'survey', 'compar', 'tradit', 'current', 'profession', 'idea', 'direct', 'access', 'princip', 'datagath', 'instrument', 'documentari', 'analysi', 'opinion', 'questionnair', 'find', 'documentari', 'analysi', 'includ', 'follow', 'research', 'direct', 'shelf', 'approach', 'brows', 'left', 'problem', 'larg', 'unresolv', 'evid', 'resist', 'establish', 'method', 'use', 'user', 'research', 'need', 'exhaust', 'studi', 'concept', 'confirm', 'open', 'shelf', 'librariesorgan', 'shelf', 'classif', 'rel', 'locationwer', 'meant', 'arous', 'intellectu', 'social', 'polit', 'interest', 'averag', 'citizen', 'affect', 'democrat', 'selfreal', 'definit', 'brows', 'vari', 'greatli', 'selfindulg', 'untutor', 'objection', 'work', 'benefici', 'selfeduc', 'gener', 'reader', 'valuabl', 'guidanc', 'scholar', 'research', 'x']"
10,".T Access to Periodical Resources .A Palmour, V.E. The purpose of this study was to develop, evaluate, and recommend a national plan  for improving access to periodical resources.  About 48 percent of all academic interlibrary loans are for periodical materials, with the bulk of the loans being satisfied in the form of photocopies.  A major consideration in the long-range improvement of the interlibrary loan system is the possible augmentation with a national system for acquiring, storing, and satisfying loan requests for periodical materials. This study focused on the physical access to the periodical literature.  Based on the needs of the library community, design features were developed, and included the following: Service should be made available to all users without any restriction other than access through a library. Initially, the service should be confined primarily to rapid, dependable delivery of photocopies of journal articles. The collection of a center should be comprehensive in subject coverage excluding only medicine. All worthwhile journals should be collected irrespective of language. .X 10	12	10 145	1	10 167	1	10 190	1	10 225	1	10 232	1	10 244	1	10 304	1	10 305	1	10 306	1	10 358	1	10 385	1	10 394	1	10 400	1	10 433	1	10 459	1	10 534	1	10 541	1	10 551	2	10 702	1	10 731	1	10 732	1	10 788	1	10 817	1	10 820	1	10 823	1	10 825	1	10 826	1	10 827	1	10 828	1	10 831	1	10 881	1	10 886	1	10 887	1	10 919	1	10 920	1	10 921	1	10 942	1	10 947	2	10 948	1	10 1017	1	10 1058	2	10 1059	1	10 1060	1	10 1146	1	10 1227	1	10 1230	1	10 1257	1	10 1258	2	10 1302	1	10 1305	1	10 1306	1	10 1390	6	10 1390	6	10",access periodical resource palmour purpose study develop evaluate recommend national plan improve access periodical resource percent academic interlibrary loan periodical material bulk loan satisfied form photocopy major consideration longrange improvement interlibrary loan system possible augmentation national system acquire store satisfy loan request periodical material study focus physical access periodical literature base need library community design feature developed include follow service make available user without restriction access library initially service confine primarily rapid dependable delivery photocopy journal article collection center comprehensive subject coverage exclude medicine worthwhile journal collect irrespective language x,"['access', 'period', 'resourc', 'palmour', 'purpos', 'studi', 'develop', 'evalu', 'recommend', 'nation', 'plan', 'improv', 'access', 'period', 'resourc', 'percent', 'academ', 'interlibrari', 'loan', 'period', 'materi', 'bulk', 'loan', 'satisfi', 'form', 'photocopi', 'major', 'consider', 'longrang', 'improv', 'interlibrari', 'loan', 'system', 'possibl', 'augment', 'nation', 'system', 'acquir', 'store', 'satisfi', 'loan', 'request', 'period', 'materi', 'studi', 'focus', 'physic', 'access', 'period', 'literatur', 'base', 'need', 'librari', 'commun', 'design', 'featur', 'develop', 'includ', 'follow', 'servic', 'made', 'avail', 'user', 'without', 'restrict', 'access', 'librari', 'initi', 'servic', 'confin', 'primarili', 'rapid', 'depend', 'deliveri', 'photocopi', 'journal', 'articl', 'collect', 'center', 'comprehens', 'subject', 'coverag', 'exclud', 'medicin', 'worthwhil', 'journal', 'collect', 'irrespect', 'languag', 'x']"
